boxer_name,boxrec_url,boxer_slug,id,boxrec_id
Hozumi Hasegawa,https://boxrec.com/en/proboxer/105935,hozumi-hasegawa,78784,105935
Hristo Georgiev,https://boxrec.com/en/proboxer/248528,hristo-georgiev,79237,248528
Hrvoje Sep,https://boxrec.com/en/box-pro/797958,hrvoje-sep,92050,797958
Hrvoje Sisko,https://boxrec.com/en/proboxer/645708,hrvoje-sisko,71491,645708
Hube J Kiatu,https://boxrec.com/en/proboxer/1053074,hube-j-kiatu,75593,1053074
Hubert Kaczmarek,https://boxrec.com/en/proboxer/1042210,hubert-kaczmarek,81113,1042210
Hubert Roger Kuate,https://boxrec.com/en/proboxer/855501,hubert-roger-kuate,79969,855501
Hudson Muhumuza,https://boxrec.com/en/proboxer/609047,hudson-muhumuza,88482,609047
Huey Charlton Young,https://boxrec.com/en/proboxer/309827,huey-charlton-young,81955,309827
Hugh Doherty,https://boxrec.com/en/proboxer/557941,hugh-doherty,78328,557941
Hugh Gilhooley,https://boxrec.com/en/proboxer/31842,hugh-gilhooley,83539,31842
Hugh Mercier,https://boxrec.com/en/proboxer/24995,hugh-mercier,74971,24995
Hugh Sheridan,https://boxrec.com/en/proboxer/188171,hugh-sheridan,83556,188171
Hugh Walker,https://boxrec.com/en/proboxer/11323,hugh-walker,71649,11323
Hughie Fury,https://boxrec.com/en/proboxer/643611,hughie-fury,68996,643611
Hughie McMahon,https://boxrec.com/en/proboxer/538868,hughie-mcmahon,86460,538868
Hughie Mehegan,https://boxrec.com/en/proboxer/52150,hughie-mehegan,82835,52150
Hughroy Currie,https://boxrec.com/en/proboxer/22573,hughroy-currie,70277,22573
Hugo Aguilar,https://boxrec.com/en/box-pro/490128,hugo-aguilar,92765,490128
Hugo Alfredo Santillan,https://boxrec.com/en/box-pro/731013,hugo-alfredo-santillan,92414,731013
Hugo Armando Leon Munguia,https://boxrec.com/en/proboxer/721607,hugo-leon,88965,721607
Hugo Barra Hernandez,https://boxrec.com/en/proboxer/648804,hugo-barra-hernandez,70201,648804
Hugo Barraza,https://boxrec.com/en/proboxer/28087,hugo-barraza,78946,28087
Hugo Centeno Jr,https://boxrec.com/en/box-pro/488076,hugo-centeno-jr,92467,488076
Hugo Cruz,https://boxrec.com/en/proboxer/385933,hugo-cruz,82268,385933
Hugo Davila,https://boxrec.com/en/proboxer/44322,hugo-davila,75325,44322
Hugo Diaz,https://boxrec.com/en/proboxer/680026,hugo-diaz,80283,680026
Hugo Elacio Rosales,https://boxrec.com/en/proboxer/78906,hugo-elacio-rosales,77762,78906
Hugo Francis,https://boxrec.com/en/proboxer/211601,hugo-francis,74417,211601
Hugo Gomez,https://boxrec.com/en/proboxer/155190,hugo-gomez,83595,155190
Hugo Guarneros,https://boxrec.com/en/proboxer/39593,hugo-guarneros,77732,39593
Hugo Hernandez Molina,https://boxrec.com/en/proboxer/426479,hugo-hernandez-molina,80542,426479
Hugo Jimenez,https://boxrec.com/en/proboxer/148644,hugo-jimenez,88823,148644
Hugo Jorge Garcia,https://boxrec.com/en/proboxer/95875,hugo-jorge-garcia,86421,95875
Hugo Martinez,https://boxrec.com/en/proboxer/366263,hugo-martinez,83185,366263
Hugo Morel,https://boxrec.com/en/proboxer/1014007,hugo-morel,73013,1014007
Hugo Ramirez,https://boxrec.com/en/proboxer/72706,hugo-ramirez,89957,72706
Hugo Raul Quiroga,https://boxrec.com/en/proboxer/366124,hugo-raul-quiroga,75894,366124
Hugo Ruiz,https://boxrec.com/en/box-pro/380401,hugo-ruiz,91283,380401
Hugo Sanchez,https://boxrec.com/en/proboxer/915559,hugo-sanchez,84404,915559
Hugo Torres,https://boxrec.com/en/proboxer/5659,hugo-torres,89495,5659
