name,url
Kelly Pavlik,https://boxrec.com/en/box-pro/015844
Bob Foster,https://boxrec.com/en/box-pro/9000
Salvador Sanchez,https://boxrec.com/en/box-pro/2201
Ernesto Bergamasco,https://boxrec.com/en/box-pro/23414
Micky Ward,https://boxrec.com/ru/box-pro/3603
Peter McNeeley,https://boxrec.com/en/box-pro/6428
Julio Cesar Martinez,https://boxrec.com/en/box-pro/751478
Chuck Wepner,https://boxrec.com/en/box-pro/97
Julian Williams,https://boxrec.com/en/box-pro/536011
Thomas Mattice,https://boxrec.com/en/box-pro/697583
Jaron Ennis,https://boxrec.com/cn/box-pro/756515
Ernesto Mercado,https://boxrec.com/ru/box-pro/872402
Jesse Hart,https://boxrec.com/en/box-pro/610132
Kenshiro Teraji,https://boxrec.com/en/box-pro/692967
Luis Montano Alvarez,https://boxrec.com/en/box-pro/575948
Oshae Jones,https://boxrec.com/en/box-pro/867572
Jaron Ennis,https://boxrec.com/pl/box-pro/756515
Stevie Morgan,https://boxrec.com/en/box-pro/873187
Michael Perry,https://boxrec.com/en/box-pro/716301
Luke Campbell,https://boxrec.com/en/box-pro/651514
Roiman Villa,https://boxrec.com/ru/box-pro/713780
John Ruiz,https://boxrec.com/en/box-pro/4655
Jason Quigley,https://boxrec.com/en/box-pro/692831
Michael Hunter,https://boxrec.com/en/box-pro/640268
Vinny Pazienza,https://boxrec.com/en/box-pro/601
Richard Commey,https://boxrec.com/en/box-pro/563751
Miguel Vazquez,https://boxrec.com/en/box-pro/357157
Keyshawn Davis,https://boxrec.com/en/proboxer/861063
Lindolfo Delgado,https://boxrec.com/en/box-pro/791797
David Haye,https://boxrec.com/en/box-pro/155774
Andrew Moloney,https://boxrec.com/en/box-pro/698248
Simiso Buthelezi,https://boxrec.com/en/box-pro/912527
Ewa Brodnicka,https://boxrec.com/en/box-pro/643501
Jason Crutchfield,https://boxrec.com/en/box-pro/28745
Leigh Wood,https://boxrec.com/en/box-pro/582091
Pedro Guevara,https://boxrec.com/en/box-pro/488496
Anthony Sims Jr,https://boxrec.com/en/box-pro/682201
Malachi Ross - BoxRec,https://boxrec.com/jp/box-pro/1064383
Brian McIntyre,https://boxrec.com/en/box-pro/33501
Jake Paul,https://boxrec.com/cn/box-pro/912383
Josh Taylor,https://boxrec.com/en/box-pro/725709
Paul Bamba,https://boxrec.com/en/box-pro/987926
Christopher Lovejoy,https://boxrec.com/en/box-pro/746640
Troy Isley,https://boxrec.com/en/box-pro/854264
Robert Guerrero,https://boxrec.com/en/box-pro/67437
Dwight Muhammad Qawi,https://boxrec.com/en/box-pro/325
Kazuto Ioka,https://boxrec.com/en/box-pro/483786
Yoshiki Takei,https://boxrec.com/en/box-pro/990774
Hanna Gabriels,https://boxrec.com/en/box-pro/430794
Brandon Rios,https://boxrec.com/en/box-pro/263037
David Benavidez,https://boxrec.com/cn/box-pro/672259
Jim Braddock,https://boxrec.com/en/box-pro/12072
Thomas Dulorme,https://boxrec.com/en/box-pro/462637
Pernell Whitaker,https://boxrec.com/en/box-pro/555
Adam Azim,https://boxrec.com/en/box-pro/978312
Donnie Long,https://boxrec.com/en/box-pro/3042
Georgia O'Connor,https://boxrec.com/en/box-pro/984954
Gabriel Gollaz Valenzuela,https://boxrec.com/en/box-pro/729819
Omar Figueroa Jr,https://boxrec.com/en/box-pro/456275
Fabio Wardley,https://boxrec.com/en/box-pro/785893
Harlem Eubank,https://boxrec.com/en/box-pro/799034
Mark Potter,https://boxrec.com/en/box-pro/14995
Ike Quartey,https://boxrec.com/en/box-pro/001491
Callum Fenwick,https://boxrec.com/en/box-pro/1147857
Hasim Rahman Jr,https://boxrec.com/en/box-pro/790284
Greg Haugen,https://boxrec.com/en/box-pro/559
Ty Mitchell,https://boxrec.com/en/box-pro/529254
Chris Byrd,https://boxrec.com/en/box-pro/4923
